event,probability,numerator,denominator,year,source_name,source_url,method,notes
Death by drowning during a year in Estonia,2.77e-05,2.77,100000,2024,Statistics Estonia (RV57),https://andmed.stat.ee/api/v1/en/stat/rahvastik/rahvastikusundmused/surmad/RV57.PX,"Published deaths per 100,000 population converted to probability",cause-specific annual mortality rate
Being born on leap day,0.0006844626967830253,1,1461,2024,Probability benchmark,,one leap day in a four-year cycle,exact-calculation anchor
Traffic injury during a year in Estonia,0.0015683570150877982,2156.0,1374687.0,2024,Statistics Estonia (TS093 + RV021),https://andmed.stat.ee/api/v1/en/stat/majandus/transport/liiklusennetused/TS093.PX,Total injured in traffic accidents divided by total population,year-level risk approximation
Getting married this year,0.004627235145163953,6361.0,1374687.0,2024,Statistics Estonia (RV047 + RV021),https://andmed.stat.ee/api/v1/en/stat/rahvastik/rahvastikunaitajad-ja-koosseis/demograafilised-pehinaitajad/RV047.PX,All marriages divided by total population,annual population-level probability proxy
Rolling a six on a fair die,0.16666666666666666,1,6,2024,Probability benchmark,,one target face on a fair six-sided die,exact-calculation anchor
Fire burns 1+ hectare,0.17901234567901234,87,486,2026,Derived from Rescue Board open data,https://opendata.smit.ee/paa/csv/metsa_ja_maastikutulekahjud_jooksev_aasta.csv,"Incidents with burned area >= 10,000 m2 divided by all fires",significant fire size event
Fire occurs in Harju county,0.2613168724279835,127,486,2026,Derived from Rescue Board open data,https://opendata.smit.ee/paa/csv/metsa_ja_maastikutulekahjud_jooksev_aasta.csv,Harju county incidents divided by all observed fires,conditional county probability among fires
Being born in Tallinn,0.3366357069143447,3262.0,9690.0,2024,Statistics Estonia (RV11U),https://andmed.stat.ee/api/v1/en/stat/rahvastik/rahvastikusundmused/sunnid/RV11U.PX,Births in Tallinn divided by births in Estonia,probability among live births
